customer_id,discount,discount_fraction,predicted_revenue,discount_cost,ITE
1.0,30.0,0.3,1.887724629804833,0.0,0.1709895498011624
2.0,30.0,0.3,0.0885947312785471,0.0,0.0101622770450272
4.0,0.0,0.0,43.73,0.0,-0.0378397526052232
5.0,0.0,0.0,40.04,0.0,-0.049771762590513
6.0,30.0,0.3,0.8130048635821252,0.0,0.0815533015931513
7.0,0.0,0.0,0.0,0.0,-0.0954399019548301
10.0,30.0,0.3,0.4688734062164741,0.0,0.04517084838309
11.0,0.0,0.0,45.72,0.0,-0.0797740420095248
12.0,0.0,0.0,0.0,0.0,-0.0202499330364576
13.0,30.0,0.3,0.0072630424469801,0.0,0.000597633707478
14.0,30.0,0.3,1.9929030049514924,0.0,0.1085281819393069
16.0,0.0,0.0,0.0,0.0,-0.1433421638358901
18.0,30.0,0.3,1.0179401029088204,0.0,0.1147104014997544
20.0,30.0,0.3,0.3387184637227679,0.0,0.0367413454520846
22.0,0.0,0.0,50.59,0.0,-0.0678776696394787
23.0,0.0,0.0,45.89,0.0,-0.0830789791529199
24.0,30.0,0.3,0.5320265213016366,0.0,0.0731307933060669
26.0,30.0,0.3,0.2608082930511118,0.0,0.0267907851105405
28.0,0.0,0.0,52.42,0.0,-0.0484954024760863
30.0,30.0,0.3,0.615523729026952,0.0,0.0590940600064278
31.0,0.0,0.0,62.02,0.0,-0.0260861307530291
32.0,0.0,0.0,25.35,0.0,-0.0451000839803205
33.0,30.0,0.3,2.104097690507997,0.0,0.1660037625647335
34.0,0.0,0.0,0.0,0.0,-0.1127469692340338
35.0,0.0,0.0,0.0,0.0,-0.0434377417327831
37.0,0.0,0.0,53.75,0.0,-0.0171225723630336
38.0,30.0,0.3,0.4051394051730727,0.0,0.0371517106990438
39.0,30.0,0.3,1.042649683330572,0.0,0.145175394504396
40.0,30.0,0.3,0.5863681380634173,0.0,0.0510996198748076
42.0,30.0,0.3,0.3134527965863293,0.0,0.0267359942499428
43.0,30.0,0.3,1.286076580500208,0.0,0.0970770365715737
44.0,30.0,0.3,0.6961527571944586,0.0,0.079009505980531
45.0,30.0,0.3,1.2530985556729932,0.0,0.1183620058253512
47.0,0.0,0.0,0.0,0.0,-0.0610874737273699
48.0,0.0,0.0,47.38,0.0,-0.0555939773263096
50.0,30.0,0.3,0.943222132855447,0.0,0.0564465668973936
54.0,30.0,0.3,1.265172908568611,0.0,0.1191985027858122
55.0,30.0,0.3,0.9222677674786997,0.0,0.1016273022015096
56.0,30.0,0.3,1.168430681125041,0.0,0.124433512366884
57.0,0.0,0.0,0.0,0.0,-0.0344610246195922
60.0,30.0,0.3,34.29228034211318,9.87,0.1410618381067051
61.0,30.0,0.3,32.65812581085386,9.45,0.1225529958575511
63.0,0.0,0.0,0.0,0.0,-0.0285816894194231
65.0,0.0,0.0,32.06,0.0,-0.0013468445166094
67.0,30.0,0.3,1.31812478322947,0.0,0.1348603215909014
68.0,30.0,0.3,0.7825435519221571,0.0,0.063466630326209
69.0,0.0,0.0,0.0,0.0,-0.0071675448279742
70.0,30.0,0.3,51.99897484899883,15.027000000000001,0.1270363245490664
72.0,0.0,0.0,35.32,0.0,-0.0335583513265956
74.0,30.0,0.3,35.87567400236456,10.364999999999998,0.1278990836820613
75.0,30.0,0.3,0.2892391704098697,0.0,0.0220272005490724
76.0,0.0,0.0,0.0,0.0,-0.016173626963776
77.0,30.0,0.3,0.9517087508583254,0.0,0.0794879103698593
80.0,30.0,0.3,0.4991920464807333,0.0,0.062391206909228
81.0,0.0,0.0,0.0,0.0,-0.0461480515889791
82.0,0.0,0.0,0.0,0.0,-0.0103415833922124
83.0,30.0,0.3,41.24630908026624,11.964,0.1142016951075085
84.0,30.0,0.3,0.5727050660406188,0.0,0.065489430078973
87.0,0.0,0.0,0.0,0.0,-0.0214843693151063
88.0,0.0,0.0,34.23,0.0,-0.0269697484769974
89.0,30.0,0.3,0.3001245441287968,0.0,0.0463369683694298
90.0,30.0,0.3,1.7966209805729847,0.0,0.1135736127803897
91.0,0.0,0.0,55.25,0.0,-0.0037350505890402
92.0,30.0,0.3,1.796502786612045,0.0,0.178224482798814
94.0,30.0,0.3,40.69023183626668,11.768999999999998,0.1240744189197621
95.0,0.0,0.0,0.0,0.0,-0.0146239098876059
96.0,0.0,0.0,28.53,0.0,-0.0198640065995123
97.0,0.0,0.0,0.0,0.0,-0.0109667547394985
99.0,30.0,0.3,0.2561702783304468,0.0,0.0372719741496358
100.0,0.0,0.0,0.0,0.0,-0.0338433310279209
101.0,30.0,0.3,1.5079925809934212,0.0,0.1589703332272213
104.0,30.0,0.3,0.3746755269350809,0.0,0.0253227579707408
107.0,30.0,0.3,19.28485450366636,5.565,0.1320493268043766
109.0,30.0,0.3,0.4249384008975725,0.0,0.0284429987213904
112.0,30.0,0.3,38.396714940984026,11.043000000000001,0.1436851345634362
