row_index,customer_id
0,1053
1,2991
2,1789
3,765
4,3248
5,1102
6,1666
7,280
8,3194
9,4045
10,2345
11,3306
12,4619
13,1695
14,1663
15,2112
16,4518
17,890
18,4461
19,3356
20,2019
21,2727
22,158
23,4013
24,3626
25,2092
26,3968
27,4268
28,1095
29,3912
30,3258
31,4231
32,706
33,600
34,2570
35,3989
36,2835
37,2239
38,4563
39,1783
40,2814
41,2842
42,3955
43,228
44,4416
45,3135
46,4678
47,3495
48,4513
49,241
50,732
51,30
52,107
53,4802
54,3881
55,1845
56,3472
57,2374
58,4858
59,1169
60,2158
61,2816
62,799
63,3987
64,66
65,2700
66,1505
67,180
68,1422
69,625
70,24
71,2060
72,682
73,1631
74,1091
75,502
76,4444
77,229
78,4138
79,4639
80,3788
81,2221
82,3711
83,1413
84,2684
85,85
86,4455
87,4587
88,4309
89,2379
90,2697
91,1210
92,2766
93,334
94,2093
95,200
96,2883
97,1433
98,808
99,4195
100,3436
101,3574
102,1030
103,3493
104,1520
105,4849
106,1955
107,2405
108,4310
109,4131
110,2122
111,80
112,4293
113,3292
114,3045
115,4733
116,3167
117,4542
118,2074
119,734
120,3952
121,3434
122,2219
123,1742
124,297
125,3560
126,712
127,897
128,3950
129,374
130,1558
131,4149
132,1500
133,4618
134,472
135,1035
136,1515
137,4237
138,1733
139,1271
140,3935
141,4437
142,4419
143,2586
144,3636
145,656
146,1293
147,4752
148,427
149,2421
150,2136
151,1075
152,4840
153,1323
154,415
155,2485
156,2147
157,590
158,169
159,3519
160,2241
161,997
162,3670
163,1865
164,9
165,3186
166,498
167,4335
168,145
169,658
170,2026
171,298
172,3781
173,1254
174,152
175,1744
176,2628
177,1198
178,3228
179,3162
180,4835
181,3409
182,1393
183,3941
184,1414
185,1540
186,2588
187,1706
188,3833
189,2999
190,4530
191,4260
192,3610
193,1445
194,101
195,2820
196,1205
197,1324
198,1026
199,4059
200,1616
201,2388
202,1753
203,4999
204,1232
205,4422
206,3012
207,2506
208,4382
209,1211
210,3945
211,1913
212,3527
213,2528
214,2606
215,3984
216,473
217,2844
218,4215
219,4081
220,3596
221,1256
222,4773
223,1748
224,3917
225,4979
226,3297
227,3265
228,249
229,34
230,2797
231,3684
232,506
233,3081
234,894
235,627
236,3190
237,1673
238,2518
239,2723
240,3040
241,1872
242,2852
243,970
244,417
245,1361
246,231
247,4871
248,3660
249,545
250,1245
251,3318
252,995
253,1621
254,1757
255,4821
256,1341
257,1819
258,813
259,3510
260,3910
261,3009
262,3969
263,4994
264,3621
265,1085
266,1104
267,932
268,3059
269,3879
270,1145
271,423
272,1437
273,725
274,1418
275,3738
276,3567
277,927
278,2291
279,150
280,4090
281,3102
282,4093
283,13
284,469
285,3264
286,3874
287,1894
288,3705
289,1438
290,1860
291,1841
292,3659
293,2105
294,3612
295,812
296,2664
297,1269
298,1962
299,3707
300,2878
301,4545
302,4264
303,394
304,2631
305,585
306,4965
307,492
308,2651
309,3041
310,133
311,1589
312,1739
313,4986
314,1019
315,4379
316,4703
317,2308
318,288
319,2211
320,3130
321,4576
322,1407
323,2367
324,2292
325,950
326,3478
327,3887
328,3405
329,2296
330,4224
331,4612
332,4486
333,4340
334,2222
335,1042
336,3846
337,4339
338,3883
339,2305
340,4403
341,430
342,1045
343,1808
344,4953
345,3655
346,830
347,2978
348,1719
349,466
350,3961
351,1372
352,1457
353,1188
354,3163
355,4646
356,678
357,487
358,2232
359,1039
360,764
361,2956
362,3656
363,3755
364,3652
365,766
366,4271
367,291
368,2120
369,3540
370,253
371,3261
372,351
373,3708
374,3204
375,1740
376,677
377,91
378,3827
379,4881
380,4119
381,3056
382,27
383,3717
384,4898
385,722
386,2064
387,3964
388,2471
389,2318
390,2859
391,878
392,3317
393,3789
394,255
395,4822
396,4796
397,4249
398,4321
399,4734
400,2100
401,4740
402,3981
403,2535
404,4658
405,316
406,1262
407,842
408,2744
409,554
410,2023
411,3132
412,70
413,3605
414,747
415,2424
416,4457
417,1703
418,3122
419,4694
420,3354
421,2068
422,3649
423,3996
424,2154
425,1840
426,388
427,2469
428,3703
429,3932
430,3719
431,1371
432,411
433,1439
434,110
435,4057
436,1136
437,2128
438,2610
439,692
440,1579
441,2963
442,4142
443,3706
444,3255
445,4812
446,486
447,556
448,4632
449,4421
450,2772
451,2861
452,1109
453,3913
454,2270
455,3931
456,178
457,2906
458,916
459,81
460,3269
461,578
462,2300
463,3312
464,3795
465,1392
466,222
467,94
468,3647
469,4360
470,843
471,539
472,3015
473,1435
474,1056
475,3774
476,3687
477,811
478,2216
479,2987
480,735
481,4521
482,1863
483,4072
484,531
485,2923
486,3413
487,3127
488,3624
489,4141
490,1747
491,684
492,4568
493,1130
494,4275
495,2652
496,801
497,2118
498,3381
499,4267
500,220
501,1870
502,2246
503,4357
504,4085
505,4695
506,2678
507,44
508,2285
509,211
510,1618
511,355
512,3810
513,2314
514,4564
515,562
516,368
517,587
518,3735
519,2846
520,136
521,804
522,48
523,3159
524,2322
525,4857
526,4684
527,4976
528,1935
529,62
530,1768
531,634
532,96
533,479
534,1724
535,4823
536,4603
537,1118
538,2777
539,4222
540,323
541,1294
542,2230
543,1659
544,1570
545,2441
546,2496
547,3679
548,2961
549,292
550,1002
551,2095
552,534
553,4517
554,1096
555,3793
556,2012
557,4598
558,1559
559,1171
560,4037
561,2418
562,4064
563,4722
564,3796
565,2084
566,4622
567,1011
568,4779
569,752
570,3937
571,4730
572,4536
573,4931
574,1426
575,1877
576,1546
577,4889
578,3236
579,4163
580,1193
581,2253
582,2860
583,3455
584,1895
585,671
586,829
587,2145
588,1700
589,908
590,2175
591,71
592,912
593,3866
594,2621
595,3253
596,4225
597,2754
598,839
599,1613
600,1150
601,3535
602,1076
603,2452
604,2795
605,2821
606,2022
607,3769
608,1306
609,3672
610,1889
611,3251
612,2373
613,2909
614,3797
615,1633
616,2243
617,4853
618,3918
619,3543
620,3581
621,4928
622,4890
623,643
624,2975
625,3615
626,3811
627,234
628,4577
629,1610
630,416
631,2472
632,654
633,3623
634,1601
635,18
636,1861
637,2461
638,2390
639,597
640,4872
641,2168
642,2858
643,4760
644,1816
645,4936
646,372
647,3039
648,599
649,239
650,3616
651,1814
652,1944
653,1718
654,4838
655,2139
656,2560
657,3481
658,3694
659,2765
660,2477
661,2553
662,788
663,1544
664,3741
665,4263
666,3726
667,2245
668,4488
669,4221
670,3049
671,1434
672,622
673,2313
674,3648
675,567
676,1486
677,3753
678,3586
679,52
680,2143
681,3047
682,3120
683,4375
684,535
685,3200
686,3103
687,444
688,2690
689,196
690,3484
691,777
692,2227
693,2823
694,3018
695,3063
696,2981
697,2576
698,2938
699,645
700,806
701,3538
702,1352
703,4866
704,121
705,2489
706,4808
707,4899
708,2465
709,3183
710,135
711,2804
712,3639
713,2299
714,185
715,1336
716,1667
717,512
718,1322
719,4073
720,3759
721,4229
722,3733
723,3680
724,743
725,252
726,1174
727,3960
728,3903
729,2171
730,123
731,2355
732,1670
733,1478
734,568
735,3668
736,3201
737,1676
738,1804
739,882
740,1216
741,3775
742,2629
743,4426
744,721
745,2726
746,3892
747,2466
748,3211
749,603
750,4199
751,1898
752,3946
753,3853
754,319
755,3098
756,4904
757,275
758,1874
759,550
760,4992
761,4674
762,4903
763,2950
764,606
765,4039
766,528
767,4065
768,4285
769,4913
770,3791
771,4837
772,1832
773,299
774,2806
775,4256
776,1594
777,2179
778,4932
779,4266
780,2178
781,1599
782,2537
783,757
784,1483
785,2488
786,2073
787,1296
788,1097
789,1908
790,4784
791,377
792,4166
793,2536
794,4669
795,928
796,379
797,1176
798,2457
799,2577
800,4869
801,1346
802,2620
803,1685
804,2058
805,1537
806,2529
807,2288
808,4879
809,795
810,2521
811,3521
812,1222
813,176
814,1787
815,3425
816,1979
817,46
818,2768
819,860
820,4668
821,4168
822,1527
823,2192
824,3011
825,3014
826,1780
827,1704
828,3114
829,2604
830,284
831,1554
832,4145
833,4712
834,1567
835,1259
836,857
837,2087
838,2417
839,4926
840,1875
841,4617
842,2096
843,978
844,1398
845,2460
846,4570
